Account,Sales_Agent,Deal_Stage,Product,Created_On
Labdrill,Moses Frase,Won,MGRPFU,8/29/2017
,Vicki Laflamme,In_Progress,GTXPlusBasic,3/14/2017
,James Ascencio,In_Progress,GTXPlusPro,11/3/2017
Plusstrip,Zane Levy,Won,GTXBasic,4/20/2017
Domzoom,Darcel Schlecht,Lost,GTXPlusBasic,8/10/2017
Initech,Darcel Schlecht,Won,GTXPro,9/8/2017
,Hayden Neloms,In_Progress,MGRPFU,9/17/2017
Vehement Capital Partners,Kary Hendrixson,Won,GTXPro,8/12/2017
,Kary Hendrixson,In_Progress,GTXBasic,5/27/2017
Inity,Gladys Colclough,Won,GTXPlusPro,4/16/2017
Newex,Hayden Neloms,Won,MGRPFU,12/17/2017
Bioplex,Moses Frase,Won,GTXPlusBasic,5/25/2017
Warephase,Boris Faz,Won,MGRPFS,2/26/2017
,Marty Freudenburg,In_Progress,GTXPlusBasic,6/7/2017
Streethex,Darcel Schlecht,Won,GTXPlusBasic,8/24/2017
Initech,Jonathan Berthelot,Lost,MGRPFS,5/30/2017
Rundofase,Kami Bicknell,Won,GTXPlusBasic,8/15/2017
,Daniell Hammack,Lost,MGRPFS,8/3/2017
,Moses Frase,In_Progress,MGRPFU,12/3/2017
,Reed Clapper,Lost,GTXPro,10/30/2017
,Markita Hansen,Lost,MGRPFU,12/17/2017
Zencorporation,Darcel Schlecht,Won,GTXPro,3/9/2017
Zotware,James Ascencio,Won,GTXBasic,7/17/2017
Sumace,Darcel Schlecht,Won,GTXPlusBasic,6/13/2017
Zoomit,Marty Freudenburg,Won,MGRPFS,9/10/2017
,Jonathan Berthelot,Lost,GTXBasic,7/15/2017
,Markita Hansen,Lost,MGRPFU,3/25/2017
,Anna Snelling,In_Progress,MGRPFS,8/23/2017
dambase,Elease Gluck,Won,GTK500U,8/7/2017
,Wilburn Farren,In_Progress,GTXPlusBasic,9/14/2017
Isdom,Maureen Marcano,Won,MGRPFU,7/31/2017
,Cassey Cress,In_Progress,GTXBasic,12/15/2017
Hottechi,Maureen Marcano,Won,GTXPlusBasic,5/16/2017
,Darcel Schlecht,In_Progress,GTXPlusBasic,4/24/2017
,Donn Cantrell,In_Progress,GTXPro,10/2/2017
Donquadtech,Markita Hansen,Won,GTXBasic,9/28/2017
Dalttechnology,Kami Bicknell,Won,GTXBasic,9/5/2017
Wonka Industries,Markita Hansen,Lost,MGRPFU,5/14/2017
Newex,Versie Hillebrand,In_Progress,MGRPFS,12/15/2017
,Anna Snelling,In_Progress,MGRPFS,5/6/2017
,Lajuana Vencill,Lost,GTXPlusBasic,6/10/2017
Ontomedia,Reed Clapper,Won,MGRPFU,6/23/2017
Codehow,Reed Clapper,Won,GTXPro,8/17/2017
Konex,Cassey Cress,Won,GTXBasic,8/7/2017
Soylent Corp,Gladys Colclough,Won,GTXPlusPro,9/28/2017
Krusty Krab,Zane Levy,Won,GTXPlusPro,7/29/2017
,Markita Hansen,Lost,MGRPFU,6/10/2017
,Niesha Huffines,In_Progress,GTXPlusBasic,12/3/2017
,Moses Frase,In_Progress,GTXBasic,9/22/2017
,James Ascencio,Lost,MGRPFS,10/7/2017
Betasoloin,Reed Clapper,Won,MGRPFU,3/22/2017
Isdom,Kami Bicknell,Won,GTXPlusPro,5/13/2017
,Cassey Cress,In_Progress,GTXPlusPro,10/28/2017
Finjob,Darcel Schlecht,Won,GTXPro,8/8/2017
Groovestreet,Jonathan Berthelot,Won,GTXPlusBasic,3/12/2017
Kinnamplus,Darcel Schlecht,Won,GTXPro,8/16/2017
Olivia Pope & Associates,Marty Freudenburg,Won,GTXPlusPro,4/4/2017
,Elease Gluck,In_Progress,MGRPFS,11/1/2017
,Cassey Cress,In_Progress,GTXPlusBasic,6/10/2017
Genco Pura Olive Oil Company,Daniell Hammack,Won,GTXPro,7/7/2017
Betasoloin,Reed Clapper,Won,GTXPro,6/10/2017
Gogozoom,Zane Levy,Won,GTXPro,8/25/2017
,Reed Clapper,Lost,GTXPro,4/21/2017
Donware,Vicki Laflamme,Won,GTXBasic,3/20/2017
Inity,Darcel Schlecht,Won,MGRPFS,10/1/2017
Zathunicon,Maureen Marcano,Won,GTXBasic,7/28/2017
Umbrella Corporation,Rosalina Dieter,Won,GTXPro,3/1/2017
,Hayden Neloms,In_Progress,GTXPlusBasic,1/13/2017
Dalttechnology,Cassey Cress,Won,GTXBasic,11/27/2017
,Reed Clapper,In_Progress,GTXBasic,5/29/2017
Zencorporation,Jonathan Berthelot,Won,GTXBasic,7/25/2017
Opentech,Wilburn Farren,Won,GTXPlusBasic,7/23/2017
,Rosalina Dieter,In_Progress,GTXBasic,12/4/2017
,Gladys Colclough,Lost,GTXPlusBasic,9/27/2017
,Corliss Cosme,Lost,MGRPFU,11/28/2017
,Lajuana Vencill,In_Progress,GTXPro,12/11/2016
,Wilburn Farren,In_Progress,GTXPlusBasic,12/4/2017
,Jonathan Berthelot,In_Progress,GTXBasic,11/11/2017
Newex,Cassey Cress,Won,GTXPro,8/21/2017
,James Ascencio,In_Progress,GTXPlusBasic,10/22/2017
Cyberdyne Systems,Versie Hillebrand,Won,MGRPFU,10/9/2017
Zoomit,Versie Hillebrand,Won,MGRPFS,5/2/2017
Betatech,Donn Cantrell,Lost,GTXPro,6/22/2017
Dalttechnology,Violet Mclelland,Won,GTXPlusPro,10/4/2017
The New York Inquirer,Corliss Cosme,Won,MGRPFU,5/11/2017
,Jonathan Berthelot,In_Progress,GTXBasic,6/23/2017
,Marty Freudenburg,In_Progress,GTXBasic,12/9/2017
,Vicki Laflamme,In_Progress,GTXPro,12/16/2017
,James Ascencio,Lost,GTXBasic,5/12/2017
Stanredtax,Zane Levy,Won,GTXPlusBasic,8/31/2017
,Darcel Schlecht,Lost,GTXPlusPro,9/9/2017
,Daniell Hammack,In_Progress,GTXPlusBasic,2/19/2017
Massive Dynamic,Versie Hillebrand,In_Progress,MGRPFU,12/12/2017
Bioplex,Jonathan Berthelot,Won,GTXBasic,8/13/2017
,Violet Mclelland,In_Progress,GTXBasic,4/3/2017
,Kami Bicknell,In_Progress,GTXBasic,12/4/2017
,Cassey Cress,Lost,GTXBasic,5/14/2017
,Markita Hansen,In_Progress,MGRPFS,4/19/2017
Newex,Donn Cantrell,Won,GTXPlusBasic,6/24/2017
Opentech,Garret Kinder,Won,MGRPFS,4/17/2017
,Vicki Laflamme,In_Progress,GTXBasic,12/13/2017
Toughzap,Darcel Schlecht,In_Progress,GTXPro,4/18/2017
Ontomedia,Cassey Cress,Won,GTXPro,7/14/2017
,Rosalina Dieter,In_Progress,MGRPFS,11/4/2017
,Boris Faz,In_Progress,MGRPFU,6/22/2017
Silis,Zane Levy,Won,GTXPro,9/15/2017
,Hayden Neloms,In_Progress,MGRPFS,11/25/2017
,Rosie Papadopoulos,In_Progress,GTXPlusPro,11/25/2017
Massive Dynamic,Corliss Cosme,Won,MGRPFS,9/26/2017
Stark Industries,Hayden Neloms,Won,MGRPFS,10/29/2017
,Hayden Neloms,In_Progress,MGRPFU,7/2/2017
Konmatfix,Donn Cantrell,In_Progress,MGRPFS,1/7/2017
Cheers,Donn Cantrell,In_Progress,GTXPro,1/17/2017
Funholding,Donn Cantrell,Won,MGRPFU,5/22/2017
,Donn Cantrell,In_Progress,GTXPro,7/3/2017
Kinnamplus,Vicki Laflamme,In_Progress,GTXPlusPro,12/27/2017
dambase,Rosalina Dieter,Lost,MGRPFS,8/12/2017
Scotfind,Darcel Schlecht,Won,GTXPlusBasic,3/14/2017
Green-Plus,Marty Freudenburg,Won,GTXPlusBasic,2/15/2017
Donquadtech,Hayden Neloms,Won,GTXPlusBasic,9/12/2017
Cheers,Vicki Laflamme,Won,MGRPFS,8/14/2017
Ollivander's Wand Shop,Lajuana Vencill,Won,MGRPFU,8/30/2017
Bioholding,Vicki Laflamme,In_Progress,MGRPFS,9/2/2017
Gogozoom,Maureen Marcano,Won,GTXPlusBasic,8/3/2017
Cheers,James Ascencio,Lost,GTXPlusPro,3/10/2017
J-Texon,Corliss Cosme,Won,GTXPlusBasic,9/19/2017
,Jonathan Berthelot,Lost,GTXPlusBasic,11/4/2017
,Lajuana Vencill,In_Progress,MGRPFU,12/21/2017
,Niesha Huffines,Lost,GTXBasic,12/18/2017
Funholding,Cassey Cress,Won,GTXPro,11/7/2017
Wayne Enterprises,Kary Hendrixson,Won,GTXPlusBasic,10/5/2017
,Donn Cantrell,In_Progress,GTXPro,1/8/2017
,Kami Bicknell,In_Progress,GTXPlusBasic,8/16/2017
,Zane Levy,In_Progress,GTXPlusPro,8/1/2017
Scotfind,Lajuana Vencill,Won,GTXPlusBasic,8/24/2017
,Gladys Colclough,In_Progress,MGRPFS,11/12/2017
,Versie Hillebrand,Lost,MGRPFS,10/9/2017
,Hayden Neloms,In_Progress,MGRPFS,10/3/2017
Konex,Donn Cantrell,Won,MGRPFU,1/15/2017
Zoomit,Jonathan Berthelot,Won,GTXBasic,3/18/2017
Inity,Anna Snelling,Lost,GTXPlusBasic,3/9/2017
Groovestreet,Darcel Schlecht,Lost,GTXPlusBasic,2/23/2017
Warephase,Cassey Cress,Lost,GTXBasic,8/14/2017
Good Burger,Cecily Lampkin,In_Progress,MGRPFU,10/2/2017
,Corliss Cosme,In_Progress,GTXBasic,10/2/2017
,Daniell Hammack,In_Progress,GTXPlusBasic,8/6/2017
,Zane Levy,In_Progress,GTXPro,10/10/2017
Cyberdyne Systems,Marty Freudenburg,Lost,GTXBasic,7/17/2017
Silis,Elease Gluck,Won,MGRPFS,6/12/2017
,Maureen Marcano,In_Progress,MGRPFS,12/26/2017
Olivia Pope & Associates,Jonathan Berthelot,Won,MGRPFS,8/3/2017
Silis,Lajuana Vencill,Won,MGRPFU,9/17/2017
Lexiqvolax,Niesha Huffines,Won,MGRPFS,9/19/2017
,Lajuana Vencill,Lost,GTXPro,8/12/2017
Fasehatice,Rosie Papadopoulos,Won,GTXBasic,6/4/2017
,Kami Bicknell,Lost,GTXBasic,6/26/2017
Green-Plus,Maureen Marcano,In_Progress,GTXBasic,4/18/2017
Kinnamplus,Gladys Colclough,Won,GTXBasic,6/17/2017
,Versie Hillebrand,Lost,GTXBasic,1/28/2017
Labdrill,Darcel Schlecht,Lost,GTXPlusBasic,2/11/2017
,Niesha Huffines,In_Progress,GTXPlusBasic,10/1/2017
Ganjaflex,Versie Hillebrand,Lost,MGRPFS,9/23/2017
Acme Corporation,Donn Cantrell,Won,MGRPFU,12/11/2017
Ollivander's Wand Shop,Jonathan Berthelot,Won,MGRPFS,5/16/2017
Mathtouch,Kami Bicknell,Lost,GTXPro,3/24/2017
Funholding,Wilburn Farren,Won,MGRPFU,8/16/2017
Rundofase,Elease Gluck,Won,MGRPFU,7/9/2017
,Darcel Schlecht,In_Progress,MGRPFS,12/12/2017
Y-corporation,Wilburn Farren,Won,MGRPFU,8/1/2017
,James Ascencio,Lost,MGRPFS,8/14/2017
,Vicki Laflamme,In_Progress,MGRPFU,11/12/2017
,Anna Snelling,Lost,GTXPlusBasic,6/7/2017
,Violet Mclelland,Lost,GTXBasic,9/27/2017
Wonka Industries,Cecily Lampkin,In_Progress,MGRPFU,6/11/2017
Funholding,Rosie Papadopoulos,Won,GTXPlusPro,6/17/2017
,Vicki Laflamme,In_Progress,MGRPFU,9/3/2017
,Violet Mclelland,In_Progress,MGRPFU,4/5/2017
,Darcel Schlecht,Lost,GTXPro,9/9/2017
,Wilburn Farren,In_Progress,MGRPFS,3/11/2017
Sonron,Markita Hansen,Won,GTXBasic,4/5/2017
,Kami Bicknell,In_Progress,MGRPFU,12/15/2017
Xx-holding,Garret Kinder,In_Progress,GTXPlusPro,10/6/2017
,Donn Cantrell,Lost,MGRPFU,7/31/2017
,Boris Faz,Lost,GTXPro,7/28/2017
Olivia Pope & Associates,Darcel Schlecht,Won,MGRPFS,8/26/2017
Inity,Anna Snelling,Won,GTXBasic,5/12/2017
,Kary Hendrixson,Lost,GTXPlusBasic,7/19/2017
Singletechno,Versie Hillebrand,Won,GTXPlusBasic,7/5/2017
,Cassey Cress,In_Progress,GTXPlusBasic,5/16/2017
Rantouch,Wilburn Farren,Won,MGRPFU,9/19/2017
Labdrill,Anna Snelling,Won,MGRPFU,7/25/2017
dambase,Maureen Marcano,Won,GTXBasic,11/20/2017
Stanredtax,Daniell Hammack,Won,GTXBasic,5/10/2017
Groovestreet,Niesha Huffines,Won,GTXPlusPro,2/9/2017
,Cassey Cress,In_Progress,MGRPFU,12/18/2016
Sumace,Darcel Schlecht,Lost,GTXPlusBasic,4/13/2017
Zotware,Zane Levy,Won,GTXBasic,3/31/2017
Silis,Darcel Schlecht,Won,GTXPlusBasic,6/1/2017
Xx-holding,Kami Bicknell,Lost,MGRPFU,7/25/2017
dambase,Elease Gluck,Lost,GTXBasic,1/24/2017
Bioholding,Darcel Schlecht,Won,GTXPro,7/9/2017
,Markita Hansen,In_Progress,MGRPFS,7/28/2017
Globex Corporation,Violet Mclelland,Won,MGRPFS,9/14/2017
,Markita Hansen,Lost,GTXBasic,9/4/2017
,Markita Hansen,Lost,MGRPFS,9/1/2017
Doncon,Kami Bicknell,Won,GTXPlusBasic,9/27/2017
Wayne Enterprises,Rosalina Dieter,In_Progress,GTXPlusBasic,10/28/2017
Scotfind,Marty Freudenburg,Won,GTXPlusBasic,10/8/2017
The New York Inquirer,Rosie Papadopoulos,Won,GTXBasic,9/10/2017
Xx-zobam,Cecily Lampkin,Lost,MGRPFU,3/3/2017
,Gladys Colclough,Lost,GTXPlusPro,3/18/2017
,Gladys Colclough,Lost,GTXPro,3/3/2017
Nam-zim,Niesha Huffines,Won,GTXBasic,8/2/2017
Umbrella Corporation,Kary Hendrixson,Won,GTXPlusPro,4/30/2017
Nam-zim,Jonathan Berthelot,Won,GTXBasic,6/17/2017
Newex,Cassey Cress,Lost,GTXBasic,8/30/2017
Domzoom,Gladys Colclough,Lost,GTXBasic,3/1/2017
Olivia Pope & Associates,Gladys Colclough,Won,GTXPro,4/29/2017
The New York Inquirer,Violet Mclelland,Won,MGRPFS,7/30/2017
Streethex,Darcel Schlecht,Won,MGRPFS,12/3/2017
Rantouch,Corliss Cosme,Won,MGRPFS,9/4/2017
,Maureen Marcano,Lost,GTXBasic,7/28/2017
,Jonathan Berthelot,In_Progress,MGRPFS,12/6/2017
,Vicki Laflamme,In_Progress,MGRPFS,5/23/2017
,Donn Cantrell,In_Progress,GTXBasic,8/5/2017
Silis,Anna Snelling,Won,GTXPlusBasic,5/30/2017
Xx-holding,Violet Mclelland,In_Progress,GTXBasic,11/1/2017
Groovestreet,Darcel Schlecht,Won,GTXPlusPro,10/5/2017
Zathunicon,Maureen Marcano,Won,MGRPFU,8/16/2017
,Hayden Neloms,In_Progress,MGRPFS,10/11/2017
Streethex,Versie Hillebrand,Won,GTXPlusPro,4/4/2017
Zumgoity,Boris Faz,Lost,MGRPFU,3/6/2017
Zoomit,Darcel Schlecht,In_Progress,GTXBasic,12/31/2017
,Cassey Cress,In_Progress,GTXPro,12/13/2017
,Zane Levy,In_Progress,GTXPlusBasic,4/2/2017
,Jonathan Berthelot,In_Progress,GTXPro,1/28/2017
,Cassey Cress,In_Progress,GTXPlusBasic,8/17/2017
Wayne Enterprises,Rosalina Dieter,Won,MGRPFS,7/30/2017
Betasoloin,Cassey Cress,Won,GTXPlusBasic,6/27/2017
,Anna Snelling,In_Progress,GTXPlusBasic,5/12/2017
,Anna Snelling,Lost,GTXPlusPro,7/30/2017
Zotware,James Ascencio,Won,GTXBasic,8/18/2017
Gekko & Co,Daniell Hammack,Won,GTXPro,8/2/2017
Zencorporation,Jonathan Berthelot,Won,GTXBasic,3/28/2017
,Wilburn Farren,Lost,GTXBasic,5/1/2017
Bioholding,Gladys Colclough,In_Progress,GTXPlusPro,3/25/2017
Groovestreet,Darcel Schlecht,Won,GTXPlusBasic,3/12/2017
,Maureen Marcano,In_Progress,GTXBasic,5/5/2017
Cancity,Markita Hansen,Won,GTXPro,5/5/2017
Sumace,Darcel Schlecht,Won,GTXPro,1/17/2017
Zencorporation,Cecily Lampkin,Won,GTXPlusBasic,2/3/2017
Rantouch,Garret Kinder,Lost,MGRPFS,5/1/2017
Scotfind,Niesha Huffines,Won,GTXBasic,2/12/2017
Isdom,Kary Hendrixson,Won,GTXBasic,2/22/2017
Zencorporation,Jonathan Berthelot,Won,GTXBasic,6/20/2017
,Gladys Colclough,Lost,GTXPlusBasic,2/23/2017
,Rosie Papadopoulos,Lost,MGRPFU,9/29/2017
,Jonathan Berthelot,In_Progress,GTXPlusPro,11/29/2017
,Anna Snelling,Lost,GTXBasic,3/1/2017
,Moses Frase,In_Progress,MGRPFU,4/23/2017
Good Burger,Zane Levy,Lost,GTXPlusBasic,7/30/2017
,Donn Cantrell,In_Progress,GTXBasic,5/11/2017
,Lajuana Vencill,In_Progress,MGRPFU,5/13/2017
Goodsilron,Gladys Colclough,Lost,GTXBasic,1/12/2017
Plexzap,Reed Clapper,Won,GTXPro,6/28/2017
,Darcel Schlecht,Lost,GTXPlusPro,7/6/2017
,Cecily Lampkin,Lost,MGRPFU,8/19/2017
Inity,Gladys Colclough,Won,GTXPlusBasic,7/15/2017
,Gladys Colclough,Lost,MGRPFS,8/24/2017
Rundofase,Maureen Marcano,Won,GTXPlusBasic,7/17/2017
,James Ascencio,In_Progress,GTXBasic,5/18/2017
,Garret Kinder,In_Progress,GTXPlusPro,10/7/2017
,Reed Clapper,Lost,GTXPro,1/11/2017
,Kami Bicknell,In_Progress,MGRPFU,12/21/2017
Initech,Darcel Schlecht,Won,GTXPlusBasic,8/8/2017
Globex Corporation,Daniell Hammack,Won,GTXPro,6/2/2017
,Darcel Schlecht,In_Progress,MGRPFS,7/13/2017
Donware,Kami Bicknell,Won,GTXPlusPro,11/24/2017
Zencorporation,Darcel Schlecht,Lost,GTXPro,7/7/2017
,Zane Levy,In_Progress,GTXBasic,8/7/2017
Betasoloin,Cassey Cress,Won,GTXPro,7/6/2017
Codehow,Rosalina Dieter,In_Progress,GTXPlusBasic,12/10/2017
Bluth Company,Rosalina Dieter,Won,MGRPFS,10/9/2017
,Kary Hendrixson,In_Progress,MGRPFU,12/26/2017
dambase,Zane Levy,Lost,GTXPlusPro,4/23/2017
,Darcel Schlecht,In_Progress,GTXPlusBasic,10/20/2017
Goodsilron,Darcel Schlecht,Won,GTXPro,3/15/2017
Streethex,Darcel Schlecht,Lost,GTXBasic,8/1/2017
,Donn Cantrell,In_Progress,MGRPFU,12/13/2017
Betatech,Lajuana Vencill,In_Progress,GTXPro,12/13/2017
Bubba Gump,Boris Faz,Won,GTXBasic,9/4/2017
,Niesha Huffines,Lost,GTXPro,2/12/2017
,Darcel Schlecht,In_Progress,MGRPFS,11/8/2017
,Markita Hansen,Lost,GTXBasic,4/2/2017
,Versie Hillebrand,Lost,GTXPlusBasic,8/24/2017
Newex,Boris Faz,Won,MGRPFU,7/26/2017
Plusstrip,Kami Bicknell,Lost,MGRPFU,6/30/2017
,Gladys Colclough,Lost,MGRPFS,8/17/2017
,Maureen Marcano,In_Progress,GTXPlusBasic,12/11/2017
Silis,Zane Levy,Won,GTXBasic,6/9/2017
,Vicki Laflamme,Lost,GTXPlusBasic,3/29/2017
,Cassey Cress,Lost,MGRPFU,7/25/2017
Silis,Moses Frase,Won,MGRPFU,3/29/2017
Iselectrics,Kami Bicknell,Won,MGRPFS,2/25/2017
Hatfan,Zane Levy,Won,GTXPlusPro,8/23/2017
Acme Corporation,Daniell Hammack,Lost,MGRPFU,1/14/2017
Sonron,Markita Hansen,Won,GTXPro,6/8/2017
Rantouch,Reed Clapper,Lost,MGRPFU,1/21/2017
,Jonathan Berthelot,Lost,GTXBasic,6/25/2017
Opentech,Boris Faz,Won,GTXPro,2/20/2017
,Kary Hendrixson,Lost,GTXPro,12/1/2017
Treequote,James Ascencio,Lost,GTXBasic,3/13/2017
,Reed Clapper,In_Progress,GTXPlusBasic,1/27/2017
Nam-zim,Jonathan Berthelot,Won,MGRPFS,9/21/2017
J-Texon,Reed Clapper,In_Progress,GTXPro,3/2/2017
Donware,Markita Hansen,Lost,MGRPFU,8/19/2017
Initech,Darcel Schlecht,Lost,GTXPlusBasic,11/2/2017
Groovestreet,Cecily Lampkin,Won,MGRPFU,7/17/2017
Ganjaflex,Anna Snelling,Lost,GTXPro,4/22/2017
Finhigh,Niesha Huffines,Won,GTXPlusBasic,9/15/2017
J-Texon,Rosie Papadopoulos,Won,MGRPFU,8/10/2017
,Rosie Papadopoulos,Lost,GTXPro,7/29/2017
,Darcel Schlecht,Lost,GTXPro,6/15/2017
,Vicki Laflamme,In_Progress,MGRPFS,8/5/2017
,Daniell Hammack,Lost,GTXPro,6/8/2017
Krusty Krab,Maureen Marcano,In_Progress,GTXPlusBasic,9/23/2017
Newex,Violet Mclelland,Won,GTXBasic,4/17/2017
Singletechno,Darcel Schlecht,Won,GTXPlusBasic,8/22/2017
,Rosalina Dieter,Lost,MGRPFS,5/9/2017
,Kary Hendrixson,In_Progress,GTXBasic,12/29/2017
Sunnamplex,Cassey Cress,Won,GTXPro,9/20/2017
Kan-code,Darcel Schlecht,Won,MGRPFS,4/27/2017
,Daniell Hammack,In_Progress,MGRPFU,3/6/2017
,Cassey Cress,In_Progress,MGRPFU,9/15/2017
Stanredtax,Niesha Huffines,Lost,GTXBasic,6/1/2017
Doncon,Zane Levy,Won,GTXBasic,5/22/2017
Sonron,Kary Hendrixson,Lost,GTXPro,5/22/2017
,Vicki Laflamme,In_Progress,MGRPFU,5/18/2017
,Jonathan Berthelot,Lost,GTXPro,4/16/2017
Isdom,Kary Hendrixson,Lost,GTXPlusPro,7/22/2017
Stanredtax,Lajuana Vencill,Won,MGRPFS,7/24/2017
,Darcel Schlecht,In_Progress,GTXPlusBasic,10/7/2017
Green-Plus,Jonathan Berthelot,Won,GTXBasic,8/27/2017
Ontomedia,Boris Faz,Lost,MGRPFS,2/24/2017
Duff Beer,Anna Snelling,Won,MGRPFS,3/20/2017
Ontomedia,Cassey Cress,Won,GTXBasic,11/24/2017
Initech,Moses Frase,Lost,GTXPlusBasic,8/21/2017
dambase,James Ascencio,Won,GTXPlusBasic,7/27/2017
Bluth Company,Kary Hendrixson,Won,GTXBasic,7/31/2017
,Jonathan Berthelot,In_Progress,GTXBasic,12/13/2017
Bubba Gump,Wilburn Farren,Lost,MGRPFU,1/4/2017
,Anna Snelling,In_Progress,GTXPro,7/14/2017
,Hayden Neloms,In_Progress,MGRPFU,11/26/2017
The New York Inquirer,Violet Mclelland,Won,MGRPFS,10/1/2017
Vehement Capital Partners,Zane Levy,Won,GTXBasic,6/4/2017
,Maureen Marcano,In_Progress,MGRPFU,3/13/2017
Bioholding,Lajuana Vencill,Won,GTXPlusBasic,11/25/2017
Duff Beer,Darcel Schlecht,Lost,GTXPro,7/1/2017
,Reed Clapper,In_Progress,GTXBasic,8/7/2017
,Darcel Schlecht,In_Progress,GTXPlusPro,11/4/2017
,Jonathan Berthelot,Lost,GTXPlusBasic,11/24/2017
,Violet Mclelland,In_Progress,GTXPlusBasic,10/22/2017
Ganjaflex,Marty Freudenburg,Won,GTXPlusPro,8/11/2017
,Moses Frase,In_Progress,MGRPFU,11/14/2017
Condax,Markita Hansen,Won,MGRPFS,8/9/2017
,Markita Hansen,Lost,MGRPFS,3/19/2017
,Gladys Colclough,In_Progress,GTXBasic,8/5/2017
Duff Beer,Rosalina Dieter,In_Progress,GTXBasic,11/16/2017
,Gladys Colclough,In_Progress,GTXBasic,2/18/2017
Mathtouch,Hayden Neloms,Won,MGRPFS,5/10/2017
,Kary Hendrixson,In_Progress,GTXPro,4/29/2017
,Niesha Huffines,Lost,GTXPlusBasic,5/22/2017
Sunnamplex,Corliss Cosme,Won,GTXPro,10/12/2017
Bluth Company,Vicki Laflamme,Lost,GTXBasic,1/13/2017
Sumace,Lajuana Vencill,In_Progress,MGRPFU,3/12/2017
Betasoloin,Garret Kinder,Won,GTXPro,7/23/2017
,Daniell Hammack,In_Progress,GTXBasic,2/18/2017
,Violet Mclelland,Lost,GTXPlusBasic,2/18/2017
,Jonathan Berthelot,In_Progress,GTXBasic,1/16/2017
,Kary Hendrixson,In_Progress,GTXPlusBasic,12/22/2016
Faxquote,Darcel Schlecht,Won,GTXPro,8/8/2017
Faxquote,Jonathan Berthelot,Won,GTXPlusPro,8/11/2017
,Reed Clapper,In_Progress,GTXBasic,6/18/2017
Conecom,Reed Clapper,Won,GTXBasic,8/12/2017
Faxquote,Niesha Huffines,Won,GTXPro,12/5/2017
,Cassey Cress,In_Progress,GTXBasic,4/7/2017
,Jonathan Berthelot,In_Progress,GTXPro,5/29/2017
,Garret Kinder,Lost,MGRPFU,6/18/2017
,Zane Levy,Lost,GTXPlusPro,6/5/2017
,Darcel Schlecht,Lost,GTXPlusPro,3/15/2017
Faxquote,Lajuana Vencill,Lost,GTXPlusBasic,4/21/2017
Ontomedia,Violet Mclelland,Lost,MGRPFS,5/12/2017
Donquadtech,Vicki Laflamme,Won,GTXPro,8/9/2017
,Jonathan Berthelot,Lost,GTXBasic,6/27/2017
Rantouch,Corliss Cosme,Won,GTXPro,7/29/2017
,Rosalina Dieter,Lost,GTK500U,7/28/2017
Scotfind,Darcel Schlecht,Won,GTXPlusPro,9/10/2017
Nam-zim,Jonathan Berthelot,Won,GTXBasic,6/24/2017
,Markita Hansen,In_Progress,MGRPFS,9/4/2017
Groovestreet,Jonathan Berthelot,Lost,GTXBasic,10/12/2017
Dontechi,Marty Freudenburg,Lost,GTXPlusBasic,5/24/2017
Konmatfix,Elease Gluck,In_Progress,GTXBasic,3/22/2017
J-Texon,Niesha Huffines,In_Progress,GTXPlusBasic,12/4/2017
Newex,Maureen Marcano,Won,MGRPFS,8/2/2017
Cheers,Kary Hendrixson,Won,GTXPlusBasic,11/26/2017
Golddex,Moses Frase,Won,MGRPFU,10/21/2017
,Hayden Neloms,Lost,MGRPFU,12/14/2017
,Violet Mclelland,In_Progress,GTXBasic,4/7/2017
Donquadtech,Vicki Laflamme,Won,GTXBasic,10/25/2017
Sterling Cooper,Kami Bicknell,Won,GTXBasic,11/13/2017
Kinnamplus,Maureen Marcano,In_Progress,GTXPlusBasic,7/24/2017
Xx-zobam,Anna Snelling,Won,GTXPlusPro,6/29/2017
,Violet Mclelland,In_Progress,GTXPro,7/30/2017
,Reed Clapper,In_Progress,GTXBasic,8/4/2017
Singletechno,Gladys Colclough,Won,MGRPFS,7/27/2017
,Gladys Colclough,Lost,GTXPlusPro,7/30/2017
,Boris Faz,In_Progress,MGRPFU,4/18/2017
,Boris Faz,Lost,GTXPlusBasic,7/14/2017
Zathunicon,Vicki Laflamme,Won,GTXBasic,7/26/2017
Bioholding,Moses Frase,Won,GTXPlusPro,5/5/2017
Groovestreet,Darcel Schlecht,Lost,GTXPlusPro,3/16/2017
,Cecily Lampkin,Lost,GTXBasic,5/15/2017
Iselectrics,Kary Hendrixson,Lost,GTXBasic,7/31/2017
,Gladys Colclough,In_Progress,GTXPro,12/24/2017
Golddex,Corliss Cosme,In_Progress,GTXPlusPro,5/7/2017
,Jonathan Berthelot,In_Progress,GTXPlusBasic,2/1/2017
Sunnamplex,Wilburn Farren,Won,MGRPFU,9/10/2017
Conecom,Donn Cantrell,Won,GTXPro,7/28/2017
Sterling Cooper,Zane Levy,Lost,MGRPFS,9/24/2017
Ontomedia,Gladys Colclough,In_Progress,GTXPlusPro,12/15/2017
Hooli,Corliss Cosme,Won,MGRPFU,7/13/2017
,Anna Snelling,Lost,MGRPFU,2/15/2017
,Markita Hansen,Lost,MGRPFU,4/30/2017
Bubba Gump,Cassey Cress,Lost,GTXBasic,8/14/2017
,Hayden Neloms,In_Progress,GTXPlusBasic,11/21/2016
